Wilayah,Tahun,P1,UHH,HLS,RLS,Pengeluaran,TPT,Kepadatan,prediksi,abs_error,ape_%
Kabupaten Cilacap,2024,1.59,74.57,12.69,7.4,11868,7.83,901,1.840160324542814,0.2501603245428139,15.73335374483106
Kabupaten Banyumas,2024,2.09,74.34,13.34,7.91,12960,6.18,1391,1.754395259169751,0.33560474083024894,16.057643101925787
Kabupaten Purbalingga,2024,2.1,73.56,12.03,7.36,11343,4.96,1334,1.9644722598436595,0.13552774015634061,6.453701912206696
Kabupaten Banjarnegara,2024,2.38,74.66,11.83,6.87,10595,5.57,993,1.946333318653831,0.4336666813461689,18.221289132191973
Kabupaten Kebumen,2024,2.35,73.96,13.39,7.87,10176,5.07,1060,1.8066489355257946,0.5433510644742054,23.12132189251938
Kabupaten Purworejo,2024,1.08,75.51,13.55,8.65,11584,3.89,768,1.4579584329584478,0.3779584329584478,34.99615119985627
Kabupaten Wonosobo,2024,2.41,72.4,11.81,6.9,11980,4.02,935,2.1982355518860492,0.2117644481139509,8.78690656074485
Kabupaten Magelang,2024,1.23,74.45,12.62,7.83,10926,3.55,1236,1.7593935876247253,0.5293935876247253,43.04012907518092
Kabupaten Boyolali,2024,1.56,76.44,12.67,8.17,14195,3.16,1017,1.4570662927119475,0.10293370728805251,6.5983145697469565
Kabupaten Klaten,2024,1.46,77.3,13.43,9.29,13513,3.97,1846,1.112582041219246,0.347417958780754,23.795750601421506
Kabupaten Sukoharjo,2024,1.21,78.01,13.92,10.01,12758,3.65,2018,0.8731541641623073,0.3368458358376927,27.83849882956138
Kabupaten Wonogiri,2024,1.53,76.84,12.61,7.68,10634,2.4,588,1.518992083683011,0.011007916316988942,0.7194716547051595
Kabupaten Karanganyar,2024,1.63,77.91,13.73,9.26,12732,3.47,1253,1.0494038195091342,0.5805961804908657,35.61939757612673
Kabupaten Sragen,2024,2.42,76.18,12.93,7.88,13890,3.53,1010,1.5505318652340674,0.8694681347659325,35.9284353209063
Kabupaten Grobogan,2024,1.9,75.24,12.48,7.29,11548,3.23,762,1.7876993407277395,0.1123006592722604,5.910561014329495
Kabupaten Blora,2024,1.59,74.84,12.6,7.26,10926,3.67,464,1.840043089706918,0.2500430897069179,15.725980484711819
Kabupaten Rembang,2024,2.76,74.97,12.3,7.73,11830,2.84,641,1.7218918409769548,1.038108159023045,37.612614457356706
Kabupaten Pati,2024,1.17,76.56,12.98,7.82,11829,3.87,871,1.5202531004069184,0.3502531004069185,29.936162427941753
Kabupaten Kudus,2024,1.02,77.08,13.28,9.35,12533,3.19,2077,1.124560295838192,0.10456029583819193,10.25100939590117
Kabupaten Jepara,2024,0.71,76.21,12.86,8.27,11729,3.34,1228,1.4613983646073476,0.7513983646073477,105.83075557849968
Kabupaten Demak,2024,1.95,75.79,13.36,8.28,11591,4.75,1396,1.5072397127509947,0.4427602872490053,22.705655756359246
Kabupaten Semarang,2024,0.91,76.14,13.06,8.16,13377,3.73,1147,1.4935772405052183,0.5835772405052183,64.12936708848552
Kabupaten Temanggung,2024,0.97,75.95,12.62,7.53,10519,2.35,936,1.6537510390094876,0.6837510390094876,70.48979783602965
Kabupaten Kendal,2024,0.91,74.73,13.0,7.74,13277,5.01,1062,1.7471451151363715,0.8371451151363715,91.99396869630455
Kabupaten Batang,2024,1.25,75.03,12.17,7.08,10919,5.67,978,1.857866074586682,0.607866074586682,48.62928596693455
Kabupaten Pekalongan,2024,1.16,74.0,12.46,7.48,11701,3.3,1219,1.8877759629364257,0.7277759629364258,62.73930714969188
Kabupaten Pemalang,2024,2.56,73.99,12.02,6.56,10017,6.63,1382,2.0910889308902565,0.46891106910974356,18.31683863709936
Kabupaten Tegal,2024,0.97,72.16,12.96,7.36,10972,7.53,1702,2.1246017241654487,1.1546017241654487,119.03110558406689
Kabupaten Brebes,2024,2.5,70.29,12.45,6.41,11389,8.35,1167,2.5472505967483228,0.04725059674832277,1.8900238699329108
Kota Magelang,2024,0.92,77.53,14.62,11.43,13619,4.4,6600,0.6160119510766422,0.30398804892335785,33.04217923079976
Kota Surakarta,2024,1.14,77.9,15.07,11.25,16291,4.61,11283,0.613246861972176,0.5267531380278239,46.20641561647578
Kota Salatiga,2024,0.61,78.26,15.46,11.48,17096,3.86,3661,0.5215284174872612,0.08847158251273879,14.503538116842424
Kota Semarang,2024,0.59,78.24,15.57,11.05,16990,5.82,4572,0.6183081008375284,0.028308100837528438,4.79798319280143
Kota Pekalongan,2024,0.83,74.8,12.89,9.34,14547,4.91,7096,1.3875400574579948,0.5575400574579948,67.1735008985536
Kota Tegal,2024,1.34,74.87,13.25,9.28,14358,5.88,7200,1.3927185311592405,0.05271853115924041,3.9342187432268965
