wilayah,uhh,hls,rls,pengeluaran,ipm,tahun,indeks_kedalaman_p1,indeks_keparahan_p2,kepadatan,tpt
Kota Semarang,77.69,15.54,10.8,16047,84.08,2022,0.56,0.11,4442,7.6
Kota Pekalongan,74.51,12.86,9.2,13158,75.9,2022,0.9,0.17,6889,4.98
Kota Tegal,74.64,13.08,9.0,13455,76.15,2022,1.15,0.28,8069,6.68
Kabupaten Banyumas,73.98,13.26,7.87,12492,73.86,2023,1.78,0.41,1377,6.35
Kabupaten Purbalingga,73.37,12.02,7.34,10964,70.24,2023,2.52,0.58,1321,5.61
Kabupaten Banjarnegara,74.47,11.82,6.86,10226,69.14,2023,2.34,0.56,984,6.26
Kabupaten Kebumen,73.83,13.37,7.86,9734,71.37,2023,2.89,0.75,1048,5.11
Kabupaten Purworejo,75.21,13.53,8.46,11110,74.28,2023,1.78,0.43,762,4.02
Kabupaten Wonosobo,72.17,11.8,6.89,11577,69.37,2023,2.6,0.63,924,4.95
Kabupaten Magelang,74.2,12.61,7.82,10493,71.45,2023,1.73,0.41,1226,4.42
Kabupaten Boyolali,76.23,12.66,8.09,13716,75.41,2023,1.02,0.18,1008,4.05
Kabupaten Klaten,77.07,13.41,9.27,12968,77.59,2023,1.7,0.38,1834,4.2
Kabupaten Sukoharjo,77.86,13.91,9.84,12319,78.65,2023,1.17,0.31,1999,3.4
Kabupaten Wonogiri,76.56,12.52,7.67,10283,71.97,2023,1.32,0.25,586,1.92
Kabupaten Karanganyar,77.72,13.71,9.02,12260,77.31,2023,1.22,0.24,1244,4.35
Kabupaten Sragen,75.97,12.92,7.87,13439,75.1,2023,2.15,0.54,1003,3.87
Kabupaten Grobogan,75.04,12.46,7.28,11083,71.49,2023,1.48,0.28,756,4.02
Kabupaten Blora,74.71,12.51,7.08,10541,70.63,2023,1.35,0.25,461,3.1
Kabupaten Rembang,74.77,12.15,7.72,11399,71.89,2023,2.52,0.73,636,2.6
Kabupaten Pati,76.39,12.96,7.8,11385,73.59,2023,1.64,0.42,864,4.29
Kabupaten Kudus,76.86,13.26,9.34,12088,76.71,2023,0.99,0.22,2057,3.25
Kabupaten Jepara,76.04,12.85,8.26,11306,73.85,2023,1.01,0.26,1216,3.35
Kabupaten Demak,75.6,13.34,8.27,11166,74.07,2023,1.83,0.43,1382,5.38
Kabupaten Semarang,75.95,13.05,8.07,12943,75.13,2023,0.82,0.16,1137,4.05
Kabupaten Temanggung,75.77,12.61,7.5,10108,71.33,2023,0.99,0.17,929,2.32
Kabupaten Kendal,74.58,12.99,7.73,12755,73.86,2023,1.19,0.25,1050,5.76
Kabupaten Batang,74.85,12.15,7.07,10470,70.2,2023,1.85,0.6,967,6.06
Kabupaten Pekalongan,73.87,12.44,7.47,11297,71.4,2023,1.3,0.31,1205,3.25
Kabupaten Pemalang,73.85,12.01,6.55,9587,68.03,2023,2.4,0.6,1366,6.55
Kabupaten Tegal,72.0,12.92,7.34,10537,70.23,2023,0.88,0.17,1682,8.6
Kabupaten Brebes,69.96,12.44,6.4,10993,67.95,2023,2.98,0.87,1154,8.98
Kota Magelang,77.22,14.4,11.2,13175,81.17,2023,0.74,0.12,6585,5.25
Kota Surakarta,77.63,14.9,11.0,15870,83.54,2023,1.0,0.2,11258,4.58
Kota Salatiga,77.93,15.44,11.24,16650,84.99,2023,0.75,0.17,3618,4.57
Kota Semarang,77.9,15.55,10.81,16420,84.43,2023,0.54,0.1,4534,5.99
Kota Pekalongan,74.6,12.87,9.29,14056,76.71,2023,0.82,0.21,7017,5.02
Kota Tegal,74.77,13.18,9.24,14013,77.02,2023,0.86,0.13,7123,6.05
