Wilayah,Tahun,P1,UHH,HLS,RLS,Pengeluaran,TPT,Kepadatan
Kabupaten Boyolali,2023,1.02,76.23,12.66,8.09,13716,4.05,1008
Kabupaten Klaten,2023,1.7,77.07,13.41,9.27,12968,4.2,1834
Kabupaten Sukoharjo,2023,1.17,77.86,13.91,9.84,12319,3.4,1999
Kabupaten Wonogiri,2023,1.32,76.56,12.52,7.67,10283,1.92,586
Kabupaten Karanganyar,2023,1.22,77.72,13.71,9.02,12260,4.35,1244
Kabupaten Sragen,2023,2.15,75.97,12.92,7.87,13439,3.87,1003
Kabupaten Grobogan,2023,1.48,75.04,12.46,7.28,11083,4.02,756
Kabupaten Blora,2023,1.35,74.71,12.51,7.08,10541,3.1,461
Kabupaten Rembang,2023,2.52,74.77,12.15,7.72,11399,2.6,636
Kabupaten Pati,2023,1.64,76.39,12.96,7.8,11385,4.29,864
Kabupaten Kudus,2023,0.99,76.86,13.26,9.34,12088,3.25,2057
Kabupaten Jepara,2023,1.01,76.04,12.85,8.26,11306,3.35,1216
Kabupaten Demak,2023,1.83,75.6,13.34,8.27,11166,5.38,1382
Kabupaten Semarang,2023,0.82,75.95,13.05,8.07,12943,4.05,1137
Kabupaten Temanggung,2023,0.99,75.77,12.61,7.5,10108,2.32,929
Kabupaten Kendal,2023,1.19,74.58,12.99,7.73,12755,5.76,1050
Kabupaten Batang,2023,1.85,74.85,12.15,7.07,10470,6.06,967
Kabupaten Pekalongan,2023,1.3,73.87,12.44,7.47,11297,3.25,1205
Kabupaten Pemalang,2023,2.4,73.85,12.01,6.55,9587,6.55,1366
Kabupaten Tegal,2023,0.88,72.0,12.92,7.34,10537,8.6,1682
Kabupaten Brebes,2023,2.98,69.96,12.44,6.4,10993,8.98,1154
Kota Magelang,2023,0.74,77.22,14.4,11.2,13175,5.25,6585
Kota Surakarta,2023,1.0,77.63,14.9,11.0,15870,4.58,11258
Kota Salatiga,2023,0.75,77.93,15.44,11.24,16650,4.57,3618
Kota Semarang,2023,0.54,77.9,15.55,10.81,16420,5.99,4534
Kota Pekalongan,2023,0.82,74.6,12.87,9.29,14056,5.02,7017
Kota Tegal,2023,0.86,74.77,13.18,9.24,14013,6.05,7123
