wilayah,ipm,tahun,tpt,kepadatan,indeks_kedalaman,indeks_keparahan
3312 Kabupaten Wonogiri,7197.0,2023,192.0,586.0,132.0,25.0
3313 Kabupaten Karanganyar,7731.0,2023,435.0,1244.0,122.0,24.0
3314 Kabupaten Sragen,751.0,2023,387.0,1003.0,215.0,54.0
3315 Kabupaten Grobogan,7149.0,2023,402.0,756.0,148.0,28.0
3316 Kabupaten Blora,7063.0,2023,31.0,461.0,135.0,25.0
3317 Kabupaten Rembang,7189.0,2023,26.0,636.0,252.0,73.0
3318 Kabupaten Pati,7359.0,2023,429.0,864.0,164.0,42.0
3319 Kabupaten Kudus,7671.0,2023,325.0,2057.0,99.0,22.0
3320 Kabupaten Jepara,7385.0,2023,335.0,1216.0,101.0,26.0
3321 Kabupaten Demak,7407.0,2023,538.0,1382.0,183.0,43.0
3322 Kabupaten Semarang,7513.0,2023,405.0,1137.0,82.0,16.0
3323 Kabupaten Temanggung,7133.0,2023,232.0,929.0,99.0,17.0
3324 Kabupaten Kendal,7386.0,2023,576.0,1050.0,119.0,25.0
3325 Kabupaten Batang,702.0,2023,606.0,967.0,185.0,6.0
3326 Kabupaten Pekalongan,714.0,2023,325.0,1205.0,13.0,31.0
3327 Kabupaten Pemalang,6803.0,2023,655.0,1366.0,24.0,6.0
3328 Kabupaten Tegal,7023.0,2023,86.0,1682.0,88.0,17.0
3329 Kabupaten Brebes,6795.0,2023,898.0,1154.0,298.0,87.0
3371 Kota Magelang,8117.0,2023,525.0,6585.0,74.0,12.0
3372 Kota Surakarta,8354.0,2023,458.0,11258.0,1.0,2.0
3373 Kota Salatiga,8499.0,2023,457.0,3618.0,75.0,17.0
3374 Kota Semarang,8443.0,2023,599.0,4534.0,54.0,1.0
3375 Kota Pekalongan,7671.0,2023,502.0,7017.0,82.0,21.0
3376 Kota Tegal,7702.0,2023,605.0,7123.0,86.0,13.0
