Kabupaten dan Kota,
,[Indikator Strategis] Kepadatan Penduduk Menurut Kabupaten/Kota di Provinsi Jawa Tengah (jiwa per km2)
,2021
3301 Kabupaten Cilacap,924
3302 Kabupaten Banyumas,1340
3303 Kabupaten Purbalingga,1487
3304 Kabupaten Banjarnegara,1003
3305 Kabupaten Kebumen,1124
3306 Kabupaten Purworejo,709
3307 Kabupaten Wonosobo,903
3308 Kabupaten Magelang,1184
3309 Kabupaten Boyolali,1061
3310 Kabupaten Klaten,1925
3311 Kabupaten Sukoharjo,1864
3312 Kabupaten Wonogiri,585
3313 Kabupaten Karanganyar,1211
3314 Kabupaten Sragen,1045
3315 Kabupaten Grobogan,725
3316 Kabupaten Blora,491
3317 Kabupaten Rembang,730
3318 Kabupaten Pati,894
3319 Kabupaten Kudus,2005
3320 Kabupaten Jepara,1122
3321 Kabupaten Demak,1347
3322 Kabupaten Semarang,1115
3323 Kabupaten Temanggung,948
3324 Kabupaten Kendal,917
3325 Kabupaten Batang,1023
3326 Kabupaten Pekalongan,1167
3327 Kabupaten Pemalang,1328
3328 Kabupaten Tegal,1836
3329 Kabupaten Brebes,1047
3371 Kota Magelang,7572
3372 Kota Surakarta,11361
3373 Kota Salatiga,3374
3374 Kota Semarang,4432
3375 Kota Pekalongan,6813
3376 Kota Tegal,6950
3300 Provinsi Jawa Tengah,1120
