Kabupaten dan Kota,
,[Indikator Strategis] Kepadatan Penduduk Menurut Kabupaten/Kota di Provinsi Jawa Tengah (jiwa per km2)
,2024
3301 Kabupaten Cilacap,901
3302 Kabupaten Banyumas,1391
3303 Kabupaten Purbalingga,1334
3304 Kabupaten Banjarnegara,993
3305 Kabupaten Kebumen,1060
3306 Kabupaten Purworejo,768
3307 Kabupaten Wonosobo,935
3308 Kabupaten Magelang,1236
3309 Kabupaten Boyolali,1017
3310 Kabupaten Klaten,1846
3311 Kabupaten Sukoharjo,2018
3312 Kabupaten Wonogiri,588
3313 Kabupaten Karanganyar,1253
3314 Kabupaten Sragen,1010
3315 Kabupaten Grobogan,762
3316 Kabupaten Blora,464
3317 Kabupaten Rembang,641
3318 Kabupaten Pati,871
3319 Kabupaten Kudus,2077
3320 Kabupaten Jepara,1228
3321 Kabupaten Demak,1396
3322 Kabupaten Semarang,1147
3323 Kabupaten Temanggung,936
3324 Kabupaten Kendal,1062
3325 Kabupaten Batang,978
3326 Kabupaten Pekalongan,1219
3327 Kabupaten Pemalang,1382
3328 Kabupaten Tegal,1702
3329 Kabupaten Brebes,1167
3371 Kota Magelang,6600
3372 Kota Surakarta,11283
3373 Kota Salatiga,3661
3374 Kota Semarang,4572
3375 Kota Pekalongan,7096
3376 Kota Tegal,7200
3300 Provinsi Jawa Tengah,202
