Kabupaten / Kota,,,,,
,[Metode Baru] Indeks Pembangunan Manusia Menurut Kabupaten/Kota,,,,
,Usia Harapan Hidup saat Lahir (tahun),Harapan Lama Sekolah (tahun),Rata-rata Lama Sekolah (tahun),Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun),Indeks Pembangunan Manusia
,2023,2023,2023,2023,2023
3300 PROVINSI JAWA TENGAH,74.69,12.85,8.01,11835,73.39
3301 Kabupaten Cilacap,74.25,12.67,7.39,11432,71.83
3302 Kabupaten Banyumas,73.98,13.26,7.87,12492,73.86
3303 Kabupaten Purbalingga,73.37,12.02,7.34,10964,70.24
3304 Kabupaten Banjarnegara,74.47,11.82,6.86,10226,69.14
3305 Kabupaten Kebumen,73.83,13.37,7.86,9734,71.37
3306 Kabupaten Purworejo,75.21,13.53,8.46,11110,74.28
3307 Kabupaten Wonosobo,72.17,11.8,6.89,11577,69.37
3308 Kabupaten Magelang,74.2,12.61,7.82,10493,71.45
3309 Kabupaten Boyolali,76.23,12.66,8.09,13716,75.41
3310 Kabupaten Klaten,77.07,13.41,9.27,12968,77.59
3311 Kabupaten Sukoharjo,77.86,13.91,9.84,12319,78.65
3312 Kabupaten Wonogiri,76.56,12.52,7.67,10283,71.97
3313 Kabupaten Karanganyar,77.72,13.71,9.02,12260,77.31
3314 Kabupaten Sragen,75.97,12.92,7.87,13439,75.1
3315 Kabupaten Grobogan,75.04,12.46,7.28,11083,71.49
3316 Kabupaten Blora,74.71,12.51,7.08,10541,70.63
3317 Kabupaten Rembang,74.77,12.15,7.72,11399,71.89
3318 Kabupaten Pati,76.39,12.96,7.8,11385,73.59
3319 Kabupaten Kudus,76.86,13.26,9.34,12088,76.71
3320 Kabupaten Jepara,76.04,12.85,8.26,11306,73.85
3321 Kabupaten Demak,75.6,13.34,8.27,11166,74.07
3322 Kabupaten Semarang,75.95,13.05,8.07,12943,75.13
3323 Kabupaten Temanggung,75.77,12.61,7.5,10108,71.33
3324 Kabupaten Kendal,74.58,12.99,7.73,12755,73.86
3325 Kabupaten Batang,74.85,12.15,7.07,10470,70.2
3326 Kabupaten Pekalongan,73.87,12.44,7.47,11297,71.4
3327 Kabupaten Pemalang,73.85,12.01,6.55,9587,68.03
3328 Kabupaten Tegal,72,12.92,7.34,10537,70.23
3329 Kabupaten Brebes,69.96,12.44,6.4,10993,67.95
3371 Kota Magelang,77.22,14.4,11.2,13175,81.17
3372 Kota Surakarta,77.63,14.9,11,15870,83.54
3373 Kota Salatiga,77.93,15.44,11.24,16650,84.99
3374 Kota Semarang,77.9,15.55,10.81,16420,84.43
3375 Kota Pekalongan,74.6,12.87,9.29,14056,76.71
3376 Kota Tegal,74.77,13.18,9.24,14013,77.02
