Kabupaten dan Kota,,
,Indeks Kedalaman Kemiskinan dan Indeks Keparahan Kemiskinan Menurut Kabupaten/Kota di Provinsi Jawa Tengah,
,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan
,2023,2023
3301 Kabupaten Cilacap,1.54,0.35
3302 Kabupaten Banyumas,1.78,0.41
3303 Kabupaten Purbalingga,2.52,0.58
3304 Kabupaten Banjarnegara,2.34,0.56
3305 Kabupaten Kebumen,2.89,0.75
3306 Kabupaten Purworejo,1.78,0.43
3307 Kabupaten Wonosobo,2.6,0.63
3308 Kabupaten Magelang,1.73,0.41
3309 Kabupaten Boyolali,1.02,0.18
3310 Kabupaten Klaten,1.7,0.38
3311 Kabupaten Sukoharjo,1.17,0.31
3312 Kabupaten Wonogiri,1.32,0.25
3313 Kabupaten Karanganyar,1.22,0.24
3314 Kabupaten Sragen,2.15,0.54
3315 Kabupaten Grobogan,1.48,0.28
3316 Kabupaten Blora,1.35,0.25
3317 Kabupaten Rembang,2.52,0.73
3318 Kabupaten Pati,1.64,0.42
3319 Kabupaten Kudus,0.99,0.22
3320 Kabupaten Jepara,1.01,0.26
3321 Kabupaten Demak,1.83,0.43
3322 Kabupaten Semarang,0.82,0.16
3323 Kabupaten Temanggung,0.99,0.17
3324 Kabupaten Kendal,1.19,0.25
3325 Kabupaten Batang,1.85,0.6
3326 Kabupaten Pekalongan,1.3,0.31
3327 Kabupaten Pemalang,2.4,0.6
3328 Kabupaten Tegal,0.88,0.17
3329 Kabupaten Brebes,2.98,0.87
3371 Kota Magelang,0.74,0.12
3372 Kota Surakarta,1,0.2
3373 Kota Salatiga,0.75,0.17
3374 Kota Semarang,0.54,0.1
3375 Kota Pekalongan,0.82,0.21
3376 Kota Tegal,0.86,0.13
3300 Provinsi Jawa Tengah,1.75,0.42
