Kabupaten / Kota,
,Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota di Provinsi Jawa Tengah (Persen)
,2023
3300 PROVINSI JAWA TENGAH,5.13
3301 Kabupaten Cilacap,8.74
3302 Kabupaten Banyumas,6.35
3303 Kabupaten Purbalingga,5.61
3304 Kabupaten Banjarnegara,6.26
3305 Kabupaten Kebumen,5.11
3306 Kabupaten Purworejo,4.02
3307 Kabupaten Wonosobo,4.95
3308 Kabupaten Magelang,4.42
3309 Kabupaten Boyolali,4.05
3310 Kabupaten Klaten,4.2
3311 Kabupaten Sukoharjo,3.4
3312 Kabupaten Wonogiri,1.92
3313 Kabupaten Karanganyar,4.35
3314 Kabupaten Sragen,3.87
3315 Kabupaten Grobogan,4.02
3316 Kabupaten Blora,3.1
3317 Kabupaten Rembang,2.6
3318 Kabupaten Pati,4.29
3319 Kabupaten Kudus,3.25
3320 Kabupaten Jepara,3.35
3321 Kabupaten Demak,5.38
3322 Kabupaten Semarang,4.05
3323 Kabupaten Temanggung,2.32
3324 Kabupaten Kendal,5.76
3325 Kabupaten Batang,6.06
3326 Kabupaten Pekalongan,3.25
3327 Kabupaten Pemalang,6.55
3328 Kabupaten Tegal,8.6
3329 Kabupaten Brebes,8.98
3371 Kota Magelang,5.25
3372 Kota Surakarta,4.58
3373 Kota Salatiga,4.57
3374 Kota Semarang,5.99
3375 Kota Pekalongan,5.02
3376 Kota Tegal,6.05
