Kabupaten / Kota,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota di Provinsi Jawa Tengah
,2021
3300 PROVINSI JAWA TENGAH,1.91
3301 Kabupaten Cilacap,1.48
3302 Kabupaten Banyumas,2.35
3303 Kabupaten Purbalingga,2.1
3304 Kabupaten Banjarnegara,2.97
3305 Kabupaten Kebumen,3.24
3306 Kabupaten Purworejo,1.36
3307 Kabupaten Wonosobo,2.75
3308 Kabupaten Magelang,1.63
3309 Kabupaten Boyolali,1.76
3310 Kabupaten Klaten,1.79
3311 Kabupaten Sukoharjo,0.91
3312 Kabupaten Wonogiri,1.57
3313 Kabupaten Karanganyar,1.61
3314 Kabupaten Sragen,2.39
3315 Kabupaten Grobogan,1.66
3316 Kabupaten Blora,1.82
3317 Kabupaten Rembang,2.77
3318 Kabupaten Pati,1.69
3319 Kabupaten Kudus,1.23
3320 Kabupaten Jepara,0.88
3321 Kabupaten Demak,2.31
3322 Kabupaten Semarang,0.95
3323 Kabupaten Temanggung,1.57
3324 Kabupaten Kendal,1.51
3325 Kabupaten Batang,1.76
3326 Kabupaten Pekalongan,1.75
3327 Kabupaten Pemalang,2.92
3328 Kabupaten Tegal,1
3329 Kabupaten Brebes,3.04
3371 Kota Magelang,0.85
3372 Kota Surakarta,1.83
3373 Kota Salatiga,0.8
3374 Kota Semarang,0.67
3375 Kota Pekalongan,1.51
3376 Kota Tegal,1.04
