Kabupaten / Kota,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota di Provinsi Jawa Tengah
,2023
3300 PROVINSI JAWA TENGAH,1.75
3301 Kabupaten Cilacap,1.54
3302 Kabupaten Banyumas,1.78
3303 Kabupaten Purbalingga,2.52
3304 Kabupaten Banjarnegara,2.34
3305 Kabupaten Kebumen,2.89
3306 Kabupaten Purworejo,1.78
3307 Kabupaten Wonosobo,2.6
3308 Kabupaten Magelang,1.73
3309 Kabupaten Boyolali,1.02
3310 Kabupaten Klaten,1.7
3311 Kabupaten Sukoharjo,1.17
3312 Kabupaten Wonogiri,1.32
3313 Kabupaten Karanganyar,1.22
3314 Kabupaten Sragen,2.15
3315 Kabupaten Grobogan,1.48
3316 Kabupaten Blora,1.35
3317 Kabupaten Rembang,2.52
3318 Kabupaten Pati,1.64
3319 Kabupaten Kudus,0.99
3320 Kabupaten Jepara,1.01
3321 Kabupaten Demak,1.83
3322 Kabupaten Semarang,0.82
3323 Kabupaten Temanggung,0.99
3324 Kabupaten Kendal,1.19
3325 Kabupaten Batang,1.85
3326 Kabupaten Pekalongan,1.3
3327 Kabupaten Pemalang,2.4
3328 Kabupaten Tegal,0.88
3329 Kabupaten Brebes,2.98
3371 Kota Magelang,0.74
3372 Kota Surakarta,1
3373 Kota Salatiga,0.75
3374 Kota Semarang,0.54
3375 Kota Pekalongan,0.82
3376 Kota Tegal,0.86
