Kabupaten / Kota,,,,,
,[Metode Baru] Indeks Pembangunan Manusia Menurut Kabupaten/Kota,,,,
,Usia Harapan Hidup saat Lahir (tahun),Harapan Lama Sekolah (tahun),Rata-rata Lama Sekolah (tahun),Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun),Indeks Pembangunan Manusia
,2024,2024,2024,2024,2024
3300 PROVINSI JAWA TENGAH,74.93,12.86,8.02,12276,73.88
3301 Kabupaten Cilacap,74.57,12.69,7.4,11868,72.38
3302 Kabupaten Banyumas,74.34,13.34,7.91,12960,74.52
3303 Kabupaten Purbalingga,73.56,12.03,7.36,11343,70.69
3304 Kabupaten Banjarnegara,74.66,11.83,6.87,10595,69.6
3305 Kabupaten Kebumen,73.96,13.39,7.87,10176,71.93
3306 Kabupaten Purworejo,75.51,13.55,8.65,11584,75.11
3307 Kabupaten Wonosobo,72.4,11.81,6.9,11980,69.82
3308 Kabupaten Magelang,74.45,12.62,7.83,10926,71.99
3309 Kabupaten Boyolali,76.44,12.67,8.17,14195,75.96
3310 Kabupaten Klaten,77.3,13.43,9.29,13513,78.16
3311 Kabupaten Sukoharjo,78.01,13.92,10.01,12758,79.3
3312 Kabupaten Wonogiri,76.84,12.61,7.68,10634,72.55
3313 Kabupaten Karanganyar,77.91,13.73,9.26,12732,78.11
3314 Kabupaten Sragen,76.18,12.93,7.88,13890,75.53
3315 Kabupaten Grobogan,75.24,12.48,7.29,11548,72.02
3316 Kabupaten Blora,74.84,12.6,7.26,10926,71.39
3317 Kabupaten Rembang,74.97,12.3,7.73,11830,72.53
3318 Kabupaten Pati,76.56,12.98,7.82,11829,74.1
3319 Kabupaten Kudus,77.08,13.28,9.35,12533,77.22
3320 Kabupaten Jepara,76.21,12.86,8.27,11729,74.32
3321 Kabupaten Demak,75.79,13.36,8.28,11591,74.57
3322 Kabupaten Semarang,76.14,13.06,8.16,13377,75.67
3323 Kabupaten Temanggung,75.95,12.62,7.53,10519,71.87
3324 Kabupaten Kendal,74.73,13,7.74,13277,74.34
3325 Kabupaten Batang,75.03,12.17,7.08,10919,70.74
3326 Kabupaten Pekalongan,74,12.46,7.48,11701,71.84
3327 Kabupaten Pemalang,73.99,12.02,6.56,10017,68.55
3328 Kabupaten Tegal,72.16,12.96,7.36,10972,70.77
3329 Kabupaten Brebes,70.29,12.45,6.41,11389,68.46
3371 Kota Magelang,77.53,14.62,11.43,13619,82.15
3372 Kota Surakarta,77.9,15.07,11.25,16291,84.4
3373 Kota Salatiga,78.26,15.46,11.48,17096,85.72
3374 Kota Semarang,78.24,15.57,11.05,16990,85.25
3375 Kota Pekalongan,74.8,12.89,9.34,14547,77.22
3376 Kota Tegal,74.87,13.25,9.28,14358,77.43
