Kabupaten / Kota,,,,,
,[Metode Baru] Indeks Pembangunan Manusia Menurut Kabupaten/Kota,,,,
,Usia Harapan Hidup saat Lahir (tahun),Harapan Lama Sekolah (tahun),Rata-rata Lama Sekolah (tahun),Pengeluaran per kapita Disesuaikan (ribu rupiah/orang/tahun),Indeks Pembangunan Manusia
,2021,2021,2021,2021,2021
3300 PROVINSI JAWA TENGAH,74.47,12.77,7.75,11034,72.16
3301 Kabupaten Cilacap,73.9,12.63,7.09,10534,70.42
3302 Kabupaten Banyumas,73.8,13.03,7.63,11546,72.44
3303 Kabupaten Purbalingga,73.21,12,7.25,10032,69.15
3304 Kabupaten Banjarnegara,74.28,11.63,6.75,9407,67.86
3305 Kabupaten Kebumen,73.55,13.35,7.55,9028,70.05
3306 Kabupaten Purworejo,74.87,13.51,8.21,10275,72.98
3307 Kabupaten Wonosobo,71.94,11.76,6.82,10760,68.43
3308 Kabupaten Magelang,73.88,12.55,7.79,9440,70.12
3309 Kabupaten Boyolali,76.03,12.57,7.85,13031,74.4
3310 Kabupaten Klaten,76.86,13.39,8.81,12017,76.12
3311 Kabupaten Sukoharjo,77.73,13.84,9.35,11428,77.13
3312 Kabupaten Wonogiri,76.28,12.5,7.34,9429,70.49
3313 Kabupaten Karanganyar,77.55,13.69,8.57,11509,75.99
3314 Kabupaten Sragen,75.79,12.84,7.66,12679,74.08
3315 Kabupaten Grobogan,74.84,12.44,7.11,10294,70.41
3316 Kabupaten Blora,74.51,12.35,6.99,9669,69.37
3317 Kabupaten Rembang,74.61,12.12,7.3,10519,70.43
3318 Kabupaten Pati,76.27,12.94,7.48,10506,72.28
3319 Kabupaten Kudus,76.68,13.24,8.76,11272,75.16
3320 Kabupaten Jepara,75.91,12.76,7.79,10536,72.36
3321 Kabupaten Demak,75.46,13.32,7.86,10248,72.57
3322 Kabupaten Semarang,75.79,12.98,8.03,12070,74.24
3323 Kabupaten Temanggung,75.64,12.32,7.25,9408,69.88
3324 Kabupaten Kendal,74.48,12.96,7.46,11608,72.5
3325 Kabupaten Batang,74.74,12.13,6.88,9524,68.92
3326 Kabupaten Pekalongan,73.74,12.42,7.17,10409,70.11
3327 Kabupaten Pemalang,73.53,11.96,6.45,8573,66.56
3328 Kabupaten Tegal,71.72,12.89,6.99,9700,68.79
3329 Kabupaten Brebes,69.54,12.05,6.22,10152,66.32
3371 Kota Magelang,76.93,14.15,10.62,12349,79.43
3372 Kota Surakarta,77.32,14.88,10.9,14911,82.62
3373 Kota Salatiga,77.55,15.42,10.66,15843,83.6
3374 Kota Semarang,77.51,15.53,10.78,15425,83.55
3375 Kota Pekalongan,74.44,12.85,9.18,12598,75.4
3376 Kota Tegal,74.54,13.07,8.73,13143,75.52
